Material,PKA,Reference,Measurement,Phase,Ed (eV),PKA_Z,PKA_r (A),PKA_m (u),PKA_Stochiometry,PKA_CN,PKA_l (A),Density (g/cm^3),T (K)
Fe0.79Cr0.21,Cr,Fu_2018,MD,TBA,31,24,1.66,51.9961,0.21,12,2.57,7.85,300
Fe0.82Cr0.18,Fe,Fu_2018,MD,TBA,31,26,1.94,55.845,0.82,12,2.43,7.85,300
Fe0.82Cr0.18,Cr,Fu_2018,MD,TBA,31,24,1.66,51.9961,0.18,12,2.57,7.85,300
Fe0.85Cr0.15,Fe,Makin_1977,HVEM,fcc,18,26,1.94,55.845,0.94,12,2.43,7.85,773.15
Fe0.85Cr0.15,Fe,Fu_2018,MD,TBA,28,26,1.94,55.845,0.85,12,2.43,7.85,300
Fe0.85Cr0.15,Cr,Fu_2018,MD,TBA,28,24,1.66,51.9961,0.15,12,2.57,7.85,300
Fe0.88Cr0.12,Fe,Fu_2018,MD,TBA,30,26,1.94,55.845,0.88,12,2.43,7.85,300
Fe0.88Cr0.12,Cr,Fu_2018,MD,TBA,30,24,1.66,51.9961,0.12,12,2.57,7.85,300
Fe0.91Cr0.09,Fe,Fu_2018,MD,TBA,32,26,1.94,55.845,0.91,12,2.43,7.85,300
Fe0.91Cr0.09,Cr,Fu_2018,MD,TBA,33,24,1.66,51.9961,0.09,12,2.57,7.85,300
Fe0.94Cr0.06,Fe,Fu_2018,MD,TBA,29,26,1.94,55.845,0.94,12,2.43,7.85,300
Fe0.94Cr0.06,Cr,Fu_2018,MD,TBA,30,24,1.66,51.9961,0.06,12,2.57,7.85,300
Fe0.97Cr0.03,Fe,Fu_2018,MD,TBA,32,26,1.94,55.845,0.97,12,2.43,7.85,300
Fe0.97Cr0.03,Cr,Fu_2018,MD,TBA,32,24,1.66,51.9961,0.03,12,2.57,7.85,300
Fe3B,Fe,Audouard_1982,RM,TBA,22,26,1.94,55.845,0.75,3,2.25,7.54,21
FeCr,Fe,Juslin_2007,MD,orthorhombic,19,26,1.94,55.845,0.5,12,2.43,7.85,36
FeCr,Cr,Juslin_2007,MD,orthorhombic,15,24,1.66,51.9961,0.5,12,2.57,7.85,36
